Ensure AI Literacy for All Tarleton Graduates: Please select the TWO actions that should be our highest priorities during the next 12 months.,Accelerate Student Retention and Success Through AI: Please select the TWO actions that should be our highest priorities during the next 12 months.,Enhance Service and Operations Through AI: Please select the TWO actions that should be our highest priorities during the next 12 months.,Foundational Enablers: Which foundational enabler requires the most immediate attention?,"If Tarleton could achieve only ONE major AI-related outcome over the next 12 months, what should it be?",Optional: Where do you think Tarleton State should aim on the AI ambition spectrum?,Optional: Please share any more suggestions you have or challenges you foresee as we move forward on our AI journey.
Define core AI competencies every Tarleton graduate should possess;Integrate AI learning experiences into existing academic programs;,AI-enhanced advising and degree planning;AI-powered tutoring and academic support;,Streamline business processes and automate routine tasks;Enhance data-informed decision-making;,"Data governance, safety, and guardrails",Lay the foundation for how employees will use AI to include identifying processes that can be improved with AI and ensuring employees are trained on how to use it responsibly.  ,AI-centric,"Equip and train employees to effectively leverage AI as a productivity and decision-support tool. Focus on identifying processes that can be streamlined or enhanced through AI while reinforcing that the technology is intended to augment employee capabilities, not replace them. Training should emphasize that AI can accelerate work and provide a strong foundation for projects or processes, often achieving 70-80% of the desired outcome, but human expertise remains essential to validate information, analyze results, exercise judgment, and ensure accuracy and quality in final deliverables."
"Expand industry partnerships focused on AI workforce skills;Create AI-related projects, internships, and experiential learning opportunities;",Early-alert systems for at-risk students;Career readiness and job placement support;,Enhance data-informed decision-making;Streamline business processes and automate routine tasks;,"Data governance, safety, and guardrails",Career readiness and job placement support,AI-augmented,
Define core AI competencies every Tarleton graduate should possess;Integrate AI learning experiences into existing academic programs;,Early-alert systems for at-risk students;AI-powered tutoring and academic support;,Streamline business processes and automate routine tasks;Improve service speed and responsiveness;,Equip faculty and staff,Safe use of AI in the classroom and with student assignments.,AI-centric,
Define core AI competencies every Tarleton graduate should possess;Expand industry partnerships focused on AI workforce skills;,Personalized student communications;Improved student service and issue resolution;,Streamline business processes and automate routine tasks;Improve service speed and responsiveness;,"Data governance, safety, and guardrails","Expedite the receipt, scanning, processing, and articulation of official and unofficial transcripts, test scores, and other critical student records within SSB9 to enhance service, responsiveness, and student success. Coupled with a review of the degree audit system and its alignment with approved curricula, these efforts will improve degree planning, reduce barriers to progress, and support more timely degree completion.",AI-centric,"Reexamining our communication strategy and student messaging will be an important next step. As the university grows and expands, communication becomes more complex, often resulting in inconsistent messages and student confusion. The challenge is compounded by multiple systems that do not share information effectively, limiting our ability to provide students with clear, coordinated, and timely support."
Integrate AI learning experiences into existing academic programs;Expand industry partnerships focused on AI workforce skills;,AI-powered tutoring and academic support;Personalized student communications;,Streamline business processes and automate routine tasks;Improve service speed and responsiveness;,"Data governance, safety, and guardrails",AI is incorporated into the canvas shells so that students feel AI is indeed a part of their learning process.  Students can learn how to use AI tools properly. ,AI-intergrated,"As discussed during the workshop, specialized AI agents will soon transform field operations through custom workflows; however, our institution cannot adopt them until we fully mitigate the high risks of data leakage and operational exposure."
"Define core AI competencies every Tarleton graduate should possess;Create AI-related projects, internships, and experiential learning opportunities;",AI-enhanced advising and degree planning;Improved student service and issue resolution;,Enhance data-informed decision-making;Improve access to institutional knowledge;,"Data governance, safety, and guardrails",AI competencies and making sure we are using approved AI sources,AI-intergrated,
Integrate AI learning experiences into existing academic programs;Define core AI competencies every Tarleton graduate should possess;,AI-enhanced advising and degree planning;Career readiness and job placement support;,Improve access to institutional knowledge;Enhance data-informed decision-making;,"Data governance, safety, and guardrails",Shared institutional definitions around appropriate and ethical use of AI.,AI-centric,
Define core AI competencies every Tarleton graduate should possess;Integrate AI learning experiences into existing academic programs;,AI-enhanced advising and degree planning;Improved student service and issue resolution;,Increase employee effectiveness through AI-enabled tools;Improve access to institutional knowledge;,"Data governance, safety, and guardrails","Establish a clear, ethics-centered institutional framework for AI literacy and responsible use, supported by meaningful professional learning for faculty and staff.",AI-augmented,"Tarleton State should approach AI as an organizational change initiative, not simply a technology implementation. My research found that faculty are already engaging with AI, but they are doing so amid unclear expectations, uneven access to support, and differing interpretations of responsible use. Faculty concerns are often pedagogical and ethical rather than evidence of resistance to innovation. I recommend establishing institution-wide guardrails for privacy, transparency, academic integrity, accountability, and ethical use while preserving disciplinary flexibility. These expectations should be developed through faculty and staff listening sessions, cross-disciplinary dialogue, and ongoing review rather than through top-down policy alone.

Professional learning should be sustained, peer-led, discipline-sensitive, practice-based, and accessible across campuses and appointment types. A tiered learning model, Faculty AI Fellows program, communities of practice, and centralized resource repository could help build institutional capacity. Major challenges will include inconsistent expectations, initiative fatigue, unequal access to time and resources, concerns about professional identity, data privacy, and the risk of implementing AI tools before establishing clear educational purposes and measures of effectiveness."
Define core AI competencies every Tarleton graduate should possess;Launch AI certificates and microcredentials;,Early-alert systems for at-risk students;Improved student service and issue resolution;,Improve service speed and responsiveness;Improve access to institutional knowledge;,Equip faculty and staff,Early Alert Systems for at risk students,AI-intergrated,
"Define core AI competencies every Tarleton graduate should possess;Create AI-related projects, internships, and experiential learning opportunities;",AI-enhanced advising and degree planning;AI-powered tutoring and academic support;,Improve access to institutional knowledge;Enhance data-informed decision-making;,"Data governance, safety, and guardrails",foundation,AI-augmented,challenge is time to build some of this stuff and have people trust the output; we have spent months building genie spaces on top of validated and governed data and the output is still not where it needs to be for production
